[GET] http://localhost:3000/api/auth/me => [401] Unauthorized
[POST] http://localhost:3000/api/auth/login => [200] OK
[GET] http://localhost:3000/api/auth/me => [200] OK
[GET] http://localhost:3000/api/statistics => [200] OK
[GET] http://localhost:3000/api/notifications?unread=true => [200] OK
[GET] http://localhost:3000/api/statistics => [200] OK
[GET] http://localhost:3000/api/notifications?unread=true => [200] OK
[GET] http://localhost:3000/api/articles?page=1&limit=30 => [200] OK
[GET] http://localhost:3000/api/collaborators => [200] OK
[GET] http://localhost:3000/api/articles?page=1&limit=30 => [200] OK
[GET] http://localhost:3000/api/collaborators => [200] OK
[GET] http://localhost:3000/api/editorial-tasks => [200] OK
[GET] http://localhost:3000/api/collaborators => [200] OK
[GET] http://localhost:3000/api/editorial-tasks => [200] OK
[GET] http://localhost:3000/api/collaborators => [200] OK
[GET] http://localhost:3000/api/notifications?unread=true => [200] OK
[GET] http://localhost:3000/api/collaborators => [200] OK
[GET] http://localhost:3000/api/collaborators => [200] OK
[GET] http://localhost:3000/api/notifications => [200] OK
[GET] http://localhost:3000/api/notifications => [200] OK
[GET] http://localhost:3000/api/articles?page=1&limit=30 => [200] OK
[GET] http://localhost:3000/api/collaborators => [200] OK
[GET] http://localhost:3000/api/articles?page=1&limit=30 => [200] OK
[GET] http://localhost:3000/api/collaborators => [200] OK
[GET] http://localhost:3000/api/editorial-tasks => [200] OK
[GET] http://localhost:3000/api/collaborators => [200] OK
[GET] http://localhost:3000/api/editorial-tasks => [200] OK
[GET] http://localhost:3000/api/collaborators => [200] OK
[GET] http://localhost:3000/api/collaborators => [200] OK
[GET] http://localhost:3000/api/collaborators => [200] OK
[GET] http://localhost:3000/api/notifications?unread=true => [200] OK
[GET] http://localhost:3000/api/royalty?action=dashboard => [200] OK
[GET] http://localhost:3000/api/royalty?action=rates => [200] OK
[GET] http://localhost:3000/api/collaborators => [200] OK
[GET] http://localhost:3000/api/royalty?action=dashboard => [200] OK
[GET] http://localhost:3000/api/royalty?action=rates => [200] OK
[GET] http://localhost:3000/api/collaborators => [200] OK
[GET] http://localhost:3000/api/audit-logs?limit=100 => [200] OK
[GET] http://localhost:3000/api/statistics => [200] OK
[GET] http://localhost:3000/api/statistics => [200] OK
[GET] http://localhost:3000/api/notifications?unread=true => [200] OK
